,model,metric,value
0,lsi,coherence_npmi,0.1342133984782427
0,lsi,coherence_cv,0.676730432640857
0,lsi,coherence_umass,-1.3396734757294517
0,lsi,coherence_uci,0.43839779610208357
0,lsi,diversity_topic,0.7384615384615385
0,lsi,diversity_kl,0.884908528182074
0,lsi,similarity_rbo,0.05634339743589745
0,lsi,similarity_pjs,0.038629599388113306
0,lsi,significance_kluni,0.43497905731817893
0,lda,coherence_npmi,0.10086479471831254
0,lda,coherence_cv,0.6677265655591715
0,lda,coherence_umass,-1.127918849617602
0,lda,coherence_uci,0.25151726292491106
0,lda,diversity_topic,0.8769230769230769
0,lda,diversity_kl,2.0970995250420694
0,lda,similarity_rbo,0.018860320512820494
0,lda,similarity_pjs,0.015034443827013485
0,lda,significance_kluni,1.3144279919918314
0,hdp,coherence_npmi,-0.03897015070693854
0,hdp,coherence_cv,0.5183820180505626
0,hdp,coherence_umass,-2.151199706648604
0,hdp,coherence_uci,-2.399922979791061
0,hdp,diversity_topic,0.5613333333333334
0,hdp,diversity_kl,0.35616899821682635
0,hdp,similarity_rbo,0.016843273378076118
0,hdp,similarity_pjs,0.013833037011294834
0,hdp,significance_kluni,0.2112112384689461
0,nmf,coherence_npmi,0.20075945452199911
0,nmf,coherence_cv,0.7407977069050161
0,nmf,coherence_umass,-1.049820280408881
0,nmf,coherence_uci,1.1350886198133925
0,nmf,diversity_topic,0.6615384615384615
0,nmf,diversity_kl,3.867233551995234
0,nmf,similarity_rbo,0.07354839743589747
0,nmf,similarity_pjs,0.07826791569944702
0,nmf,significance_kluni,2.120964473017811
0,neural_lda,coherence_npmi,0.005012045191789291
0,neural_lda,coherence_cv,0.5858696895881725
0,neural_lda,coherence_umass,-1.5368131690221758
0,neural_lda,coherence_uci,-1.3519648047010135
0,neural_lda,diversity_topic,1.0
0,neural_lda,diversity_kl,0.8643794904152552
0,neural_lda,similarity_rbo,0.0
0,neural_lda,similarity_pjs,0.0
0,neural_lda,significance_kluni,0.48426712114540565
0,prod_lda,coherence_npmi,-0.12049857436335658
0,prod_lda,coherence_cv,0.5351899882382691
0,prod_lda,coherence_umass,-2.9422319676911757
0,prod_lda,coherence_uci,-5.237141159094195
0,prod_lda,diversity_topic,0.8769230769230769
0,prod_lda,diversity_kl,
0,prod_lda,similarity_rbo,0.015428653846153884
0,prod_lda,similarity_pjs,0.008485265451209725
0,prod_lda,significance_kluni,
